customer_id,first_name,last_name,email,segment,customer_city,customer_state,customer_country,zipcode
20755,Cally,Holloway,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,725.0
19492,Irene,Luna,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,725.0
19491,Gillian,Maldonado,XXXXXXXXX,Consumer,San Jose,CA,EE. UU.,95125.0
19490,Tana,Tate,XXXXXXXXX,Home Office,Los Angeles,CA,EE. UU.,90027.0
19489,Orli,Hendricks,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19488,Kimberly,Flowers,XXXXXXXXX,Consumer,Tonawanda,NY,EE. UU.,14150.0
19487,Constance,Terrell,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,725.0
19486,Erica,Stevens,XXXXXXXXX,Corporate,Miami,FL,EE. UU.,33162.0
19485,Nichole,Olsen,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19484,Oprah,Delacruz,XXXXXXXXX,Corporate,San Ramon,CA,EE. UU.,94583.0
19483,Germane,Short,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19482,Freya,Robbins,XXXXXXXXX,Consumer,Freeport,NY,EE. UU.,11520.0
19481,Cassandra,Jensen,XXXXXXXXX,Corporate,Salinas,CA,EE. UU.,93905.0
19480,Natalie,Mcfadden,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19479,Kimberley,Sharpe,XXXXXXXXX,Corporate,Peabody,MA,EE. UU.,1960.0
19478,Sade,Lancaster,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19477,Brynne,Giles,XXXXXXXXX,Corporate,Canovanas,PR,Puerto Rico,729.0
19476,Ciara,Bird,XXXXXXXXX,Corporate,Paramount,CA,EE. UU.,90723.0
19475,Bo,Griffin,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,725.0
19474,Kim,Simon,XXXXXXXXX,Consumer,Mount Prospect,IL,EE. UU.,60056.0
19473,Kellie,Farmer,XXXXXXXXX,Corporate,Long Beach,CA,EE. UU.,90813.0
19472,Alma,Conley,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19471,Yeo,Bird,XXXXXXXXX,Corporate,Rancho Cordova,CA,EE. UU.,95670.0
19470,Lucy,Mcknight,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19469,Simone,Vance,XXXXXXXXX,Corporate,Billings,MT,EE. UU.,59102.0
19468,Roary,Wheeler,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19467,Quail,Ashley,XXXXXXXXX,Consumer,Wilkes Barre,PA,EE. UU.,18702.0
19466,Hannah,Velez,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19465,Evelyn,Kelly,XXXXXXXXX,Corporate,Roseville,MI,EE. UU.,48066.0
19464,Jael,Mcfarland,XXXXXXXXX,Consumer,Bellflower,CA,EE. UU.,90706.0
19463,Teagan,Romero,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,725.0
19462,Joan,Wilder,XXXXXXXXX,Consumer,Wheaton,IL,EE. UU.,60187.0
19461,Basia,Watts,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,725.0
19460,Dominique,Rogers,XXXXXXXXX,Consumer,Detroit,MI,EE. UU.,48238.0
19459,Ainsley,Mathis,XXXXXXXXX,Consumer,Dallas,TX,EE. UU.,75220.0
19458,Aurora,Sharp,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19457,Libby,Bray,XXXXXXXXX,Corporate,Carlisle,PA,EE. UU.,17013.0
19456,Amy,Lindsay,XXXXXXXXX,Corporate,Dallas,TX,EE. UU.,75228.0
19455,Ivory,Parks,XXXXXXXXX,Consumer,Caguas,PR,Puerto Rico,725.0
19454,Karina,Prince,XXXXXXXXX,Consumer,Newark,DE,EE. UU.,19702.0
19453,Deanna,Goff,XXXXXXXXX,Consumer,Panorama City,CA,EE. UU.,91402.0
19452,Dacey,Walters,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,725.0
19451,Adele,Pennington,XXXXXXXXX,Home Office,Atlanta,GA,EE. UU.,30318.0
19450,Sybill,Spencer,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,725.0
19449,Kay,Sandoval,XXXXXXXXX,Consumer,Fremont,CA,EE. UU.,94539.0
19448,Stacy,Mckinney,XXXXXXXXX,Corporate,Caguas,PR,Puerto Rico,725.0
19447,Marah,Lara,XXXXXXXXX,Corporate,Rochester,NY,EE. UU.,14609.0
19446,Taylor,Wood,XXXXXXXXX,Corporate,Dallas,TX,EE. UU.,75211.0
9083,Mary,Frank,XXXXXXXXX,Home Office,Bayamon,PR,Puerto Rico,957.0
4741,Mary,Smith,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,725.0
639,Elizabeth,Pittman,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,725.0
9702,Katherine,Tyler,XXXXXXXXX,Home Office,Caguas,PR,Puerto Rico,725.0
